Round1:____________________________
1:8 11__40
11:7 15__0
11:7 17__0
11:7 19__0
11:7 20__0
11:8 14__0
11:8 17__0
11:8 18__0
11:9 9__0
11:9 14__0
11:9 16__0
11:10 10__0
11:10 14__0
11:10 16__0
11:11 11__0
11:11 13__0
11:11 16__0
11:12 12__0
11:13 10__0
11:13 11__0
Round12:____________________________
12:0 12__0
12:0 19__0
12:1 12__0
12:1 18__0
12:1 20__0
12:2 11__0
12:2 16__0
12:2 17__0
12:2 18__0
12:2 20__0
12:3 10__0
12:3 15__0
12:3 20__0
12:4 9__0
12:4 16__0
12:4 17__0
12:4 18__0
12:4 19__0
12:5 15__0
12:5 17__0
12:5 18__0
12:5 19__0
12:5 20__0
12:6 15__0
12:6 17__0
12:6 21__0
12:7 15__0
12:7 17__0
12:7 19__0
12:7 20__0
12:8 14__0
12:8 17__0
12:8 18__0
12:9 9__0
12:9 14__0
12:9 16__0
12:10 10__0
12:10 14__0
12:10 16__0
12:11 11__0
12:11 13__0
12:11 16__0
12:12 12__0
12:13 10__0
12:13 11__0
Round13:____________________________
13:0 12__0
13:0 19__0
13:1 12__0
13:1 18__0
13:1 20__0
13:2 11__0
13:2 16__0
13:2 17__0
13:2 18__0
13:2 20__0
13:3 10__0
13:3 15__0
13:3 20__0
13:4 9__0
13:4 16__0
13:4 17__0
13:4 18__0
13:4 19__0
13:5 15__0
13:5 17__0
13:5 18__0
13:5 19__0
13:5 20__0
13:6 15__0
13:6 17__0
13:6 21__0
13:7 15__0
13:7 17__0
13:7 19__0
13:7 20__0
13:8 14__0
13:8 17__0
13:8 18__0
13:9 9__0
13:9 14__0
13:9 16__0
13:10 10__0
13:10 14__0
13:10 16__0
13:11 11__0
13:11 13__0
13:11 16__0
13:12 12__0
13:13 10__0
13:13 11__0
Round14:____________________________
14:0 12__0
14:0 19__0
14:1 12__0
14:1 18__0
14:1 20__0
14:2 11__0
14:2 16__0
14:2 17__0
14:2 18__0
14:2 20__0
14:3 10__0
14:3 15__0
14:3 20__0
14:4 9__0
14:4 16__0
14:4 17__0
14:4 18__0
14:4 19__0
14:5 15__0
14:5 17__0
14:5 18__0
14:5 19__0
14:5 20__0
14:6 15__0
14:6 17__0
14:6 21__0
14:7 15__0
14:7 17__0
14:7 19__0
14:7 20__0
14:8 14__0
14:8 17__0
14:8 18__0
14:9 9__0
14:9 14__0
14:9 16__0
14:10 10__0
14:10 14__0
14:10 16__0
14:11 11__0
14:11 13__0
14:11 16__0
14:12 12__0
14:13 10__0
14:13 11__0
Round15:____________________________
15:0 12__0
15:0 19__0
15:1 12__0
15:1 18__0
15:1 20__0
15:2 11__0
15:2 16__0
15:2 17__0
15:2 18__0
15:2 20__0
15:3 10__0
15:3 15__0
15:3 20__0
15:4 9__0
15:4 16__0
15:4 17__0
15:4 18__0
15:4 19__0
15:5 15__0
15:5 17__0
15:5 18__0
15:5 19__0
15:5 20__0
15:6 15__0
15:6 17__0
15:6 21__0
15:7 15__0
15:7 17__0
15:7 19__0
15:7 20__0
15:8 14__0
15:8 17__0
15:8 18__0
15:9 9__0
15:9 14__0
15:9 16__0
15:10 10__0
15:10 14__0
15:10 16__0
15:11 11__0
15:11 13__0
15:11 16__0
15:12 12__0
15:13 10__0
15:13 11__0
Round16:____________________________
16:9 20__4
16:7 21__1
16:0 19__0
16:1 12__0
16:1 18__0
16:1 20__0
16:2 11__0
16:2 16__0
16:2 17__0
16:2 18__0
16:2 20__0
16:3 10__0
16:3 15__0
16:3 20__0
16:4 9__0
16:4 16__0
16:4 17__0
16:4 18__0
16:4 19__0
16:5 17__0
16:5 18__0
16:5 19__0
16:5 20__0
16:6 15__0
16:5 15__0
16:6 21__0
16:7 15__0
16:7 17__0
16:7 19__0
16:7 20__0
16:6 17__0
16:8 14__0
16:8 17__0
16:8 18__0
16:8 20__0
16:9 9__0
16:9 14__0
16:9 16__0
16:0 12__0
16:10 10__0
16:10 14__0
16:10 16__0
16:10 20__0
16:11 11__0
16:11 13__0
16:11 16__0
16:12 12__0
16:13 10__0
16:13 11__0
Round17:____________________________
17:0 12__0
17:0 19__0
17:1 12__0
17:1 18__0
17:1 20__0
17:2 11__0
17:2 16__0
17:2 17__0
17:2 18__0
17:2 20__0
17:3 10__0
17:3 15__0
17:3 20__0
17:4 9__0
17:4 16__0
17:4 17__0
17:4 18__0
17:4 19__0
17:5 15__0
17:5 17__0
17:5 18__0
17:5 19__0
17:5 20__0
17:6 15__0
17:6 17__0
17:6 21__0
17:7 15__0
17:7 17__0
17:7 19__0
17:7 20__0
17:8 14__0
17:8 17__0
17:8 18__0
17:9 9__0
17:9 14__0
17:9 16__0
17:10 10__0
17:10 14__0
17:10 16__0
17:11 11__0
17:11 13__0
17:11 16__0
17:12 12__0
17:13 10__0
17:13 11__0
Round18:____________________________
18:0 12__0
18:0 19__0
18:1 12__0
18:1 18__0
18:1 20__0
18:2 11__0
18:2 16__0
18:2 17__0
18:2 18__0
18:2 20__0
18:3 10__0
18:3 15__0
18:3 20__0
18:4 9__0
18:4 16__0
18:4 17__0
18:4 18__0
18:4 19__0
18:5 15__0
18:5 17__0
18:5 18__0
18:5 19__0
18:5 20__0
18:6 15__0
18:6 17__0
18:6 21__0
18:7 15__0
18:7 17__0
18:7 19__0
18:7 20__0
18:8 14__0
18:8 17__0
18:8 18__0
18:9 9__0
18:9 14__0
18:9 16__0
18:10 10__0
18:10 14__0
18:10 16__0
18:11 11__0
18:11 13__0
18:11 16__0
18:12 12__0
18:13 10__0
18:13 11__0
Round19:____________________________
19:0 12__0
19:0 19__0
19:1 12__0
19:1 18__0
19:1 20__0
19:2 11__0
19:2 16__0
19:2 17__0
19:2 18__0
19:2 20__0
19:3 10__0
19:3 15__0
19:3 20__0
19:4 9__0
19:4 16__0
19:4 17__0
19:4 18__0
19:4 19__0
19:5 15__0
19:5 17__0
19:5 18__0
19:5 19__0
19:5 20__0
19:6 15__0
19:6 17__0
19:6 21__0
19:7 15__0
19:7 17__0
19:7 19__0
19:7 20__0
19:8 14__0
19:8 17__0
19:8 18__0
19:9 9__0
19:9 14__0
19:9 16__0
19:10 10__0
19:10 14__0
19:10 16__0
19:11 11__0
19:11 13__0
19:11 16__0
19:12 12__0
19:13 10__0
19:13 11__0
Round20:____________________________
20:0 12__0
20:0 19__0
20:1 12__0
20:1 18__0
20:1 20__0
20:2 11__0
20:2 16__0
20:2 17__0
20:2 18__0
20:2 20__0
20:3 10__0
20:3 15__0
20:3 20__0
20:4 9__0
20:4 16__0
20:4 17__0
20:4 18__0
20:4 19__0
20:5 15__0
20:5 17__0
20:5 18__0
20:5 19__0
20:5 20__0
20:6 15__0
20:6 17__0
20:6 21__0
20:7 15__0
20:7 17__0
20:7 19__0
20:7 20__0
20:8 14__0
20:8 17__0
20:8 18__0
20:9 9__0
20:9 14__0
20:9 16__0
20:10 10__0
20:10 14__0
20:10 16__0
20:11 11__0
20:11 13__0
20:11 16__0
20:12 12__0
20:13 10__0
20:13 11__0
Round21:____________________________
21:0 12__0
21:0 19__0
21:1 12__0
21:1 18__0
21:1 20__0
21:2 11__0
21:2 16__0
21:2 17__0
21:2 18__0
21:2 20__0
21:3 10__0
21:3 15__0
21:3 20__0
21:4 9__0
21:4 16__0
21:4 17__0
21:4 18__0
21:4 19__0
21:5 15__0
21:5 17__0
21:5 18__0
21:5 19__0
21:5 20__0
21:6 15__0
21:6 17__0
21:6 21__0
21:7 15__0
21:7 17__0
21:7 19__0
21:7 20__0
21:8 14__0
21:8 17__0
21:8 18__0
21:9 9__0
21:9 14__0
21:9 16__0
21:10 10__0
21:10 14__0
21:10 16__0
21:11 11__0
21:11 13__0
21:11 16__0
21:12 12__0
21:13 10__0
21:13 11__0
Round22:____________________________
22:0 12__0
22:0 19__0
22:1 12__0
22:1 18__0
22:1 20__0
22:2 11__0
22:2 16__0
22:2 17__0
22:2 18__0
22:2 20__0
22:3 10__0
22:3 15__0
22:3 20__0
22:4 9__0
22:4 16__0
22:4 17__0
22:4 18__0
22:4 19__0
22:5 15__0
22:5 17__0
22:5 18__0
22:5 19__0
22:5 20__0
22:6 15__0
22:6 17__0
22:6 21__0
22:7 15__0
22:7 17__0
22:7 19__0
22:7 20__0
22:8 14__0
22:8 17__0
22:8 18__0
22:9 9__0
22:9 14__0
22:9 16__0
22:10 10__0
22:10 14__0
22:10 16__0
22:11 11__0
22:11 13__0
22:11 16__0
22:12 12__0
22:13 10__0
22:13 11__0
Round23:____________________________
23:10 20__827
23:6 23__477
23:0 27__440
23:3 25__236
23:17 7__188
23:13 9__112
23:7 21__109
23:0 26__105
23:2 25__97
23:17 8__94
23:17 9__60
23:15 8__6
23:2 17__0
23:2 18__0
23:2 20__0
23:3 10__0
23:3 15__0
23:3 20__0
23:4 9__0
23:4 16__0
23:4 17__0
23:4 18__0
23:4 19__0
23:4 24__0
23:5 15__0
23:5 17__0
23:5 18__0
23:5 19__0
23:5 20__0
23:5 23__0
23:6 15__0
23:6 17__0
23:2 11__0
23:6 22__0
23:0 12__0
23:7 15__0
23:7 17__0
23:7 19__0
23:7 20__0
23:0 19__0
23:8 14__0
23:8 17__0
23:8 18__0
23:8 20__0
23:9 9__0
23:9 14__0
23:9 16__0
23:9 20__0
23:1 12__0
23:10 14__0
23:10 16__0
23:1 18__0
23:11 11__0
23:11 13__0
23:11 16__0
23:12 12__0
23:6 21__0
23:13 10__0
23:13 11__0
23:14 9__0
23:1 20__0
23:16 8__0
23:1 25__0
23:2 16__0
23:10 10__0
Round24:____________________________
24:1 31__173
24:13 9__125
24:18 7__94
24:6 27__82
24:19 7__72
24:20 7__29
24:3 29__4
24:2 22__4
24:5 23__1
24:4 25__1
24:0 25__0
24:0 31__0
24:1 12__0
24:1 18__0
24:1 20__0
24:1 21__0
24:1 26__0
24:1 29__0
24:1 30__0
24:2 11__0
24:2 16__0
24:2 17__0
24:2 18__0
24:2 20__0
24:2 23__0
24:2 26__0
24:2 28__0
24:3 10__0
24:3 15__0
24:3 20__0
24:3 21__0
24:3 23__0
24:3 24__0
24:3 26__0
24:3 28__0
24:4 9__0
24:4 16__0
24:4 17__0
24:4 18__0
24:4 19__0
24:4 20__0
24:4 23__0
24:4 27__0
24:5 15__0
24:5 17__0
24:5 18__0
24:5 19__0
24:5 20__0
24:5 21__0
24:5 27__0
24:6 15__0
24:6 17__0
24:6 21__0
24:6 23__0
24:6 25__0
24:6 26__0
24:0 12__0
24:7 15__0
24:7 17__0
24:7 19__0
24:7 20__0
24:7 22__0
24:7 24__0
24:8 14__0
24:8 17__0
24:8 18__0
24:8 24__0
24:9 9__0
24:9 14__0
24:9 16__0
24:9 24__0
24:10 10__0
24:10 14__0
24:10 16__0
24:10 24__0
24:11 11__0
24:11 13__0
24:11 16__0
24:12 12__0
24:13 7__0
24:0 19__0
24:13 10__0
24:13 11__0
24:14 7__0
24:14 8__0
24:15 9__0
24:15 10__0
24:15 12__0
24:16 9__0
24:17 3__0
24:17 4__0
24:17 5__0
24:17 6__0
24:0 22__0
24:18 8__0
24:18 9__0
24:0 23__0
24:0 24__0
24:21 8__0
Round25:____________________________
25:19 7__110
25:5 21__103
25:12 7__101
25:1 20__98
25:9 23__56
25:20 7__46
25:15 7__41
25:6 21__13
25:2 20__7
25:0 27__0
25:0 28__0
25:0 29__0
25:0 30__0
25:0 31__0
25:0 34__0
25:1 12__0
25:1 18__0
25:1 32__0
25:1 33__0
25:1 34__0
25:2 11__0
25:2 16__0
25:2 17__0
25:2 18__0
25:3 10__0
25:3 15__0
25:3 20__0
25:3 25__0
25:4 9__0
25:4 16__0
25:4 17__0
25:4 18__0
25:4 19__0
25:5 15__0
25:5 17__0
25:5 18__0
25:5 19__0
25:5 20__0
25:5 23__0
25:6 15__0
25:6 17__0
25:6 23__0
25:7 15__0
25:7 17__0
25:7 19__0
25:7 20__0
25:7 21__0
25:8 14__0
25:8 17__0
25:8 18__0
25:8 20__0
25:9 9__0
25:9 14__0
25:9 16__0
25:9 21__0
25:9 22__0
25:0 12__0
25:10 10__0
25:10 14__0
25:10 16__0
25:10 24__0
25:11 8__0
25:11 11__0
25:0 19__0
25:11 16__0
25:0 20__0
25:12 9__0
25:12 12__0
25:13 8__0
25:13 10__0
25:13 11__0
25:14 6__0
25:14 9__0
25:11 13__0
25:15 8__0
25:16 8__0
25:17 7__0
25:17 8__0
25:18 7__0
25:18 9__0
25:0 22__0
25:19 8__0
25:0 23__0
25:21 8__0
Round26:____________________________
26:20 3__106
26:8 21__99
26:1 23__90
26:14 7__73
26:17 6__68
26:8 7__62
26:5 8__45
26:19 4__37
26:13 7__33
26:13 9__16
26:14 8__10
26:6 10__7
26:15 10__5
26:16 10__2
26:11 6__1
26:2 18__0
26:2 20__0
26:2 21__0
26:2 22__0
26:3 10__0
26:3 15__0
26:3 20__0
26:3 22__0
26:4 9__0
26:4 16__0
26:4 17__0
26:4 18__0
26:4 20__0
26:4 21__0
26:4 22__0
26:5 9__0
26:5 15__0
26:5 17__0
26:5 18__0
26:5 19__0
26:5 20__0
26:5 21__0
26:5 22__0
26:6 15__0
26:6 17__0
26:6 22__0
26:7 9__0
26:7 15__0
26:7 17__0
26:7 19__0
26:7 20__0
26:8 8__0
26:8 14__0
26:8 17__0
26:8 18__0
26:0 12__0
26:8 22__0
26:9 6__0
26:9 7__0
26:9 8__0
26:9 9__0
26:9 14__0
26:9 16__0
26:9 20__0
26:10 10__0
26:10 14__0
26:10 16__0
26:10 20__0
26:10 22__0
26:10 23__0
26:10 24__0
26:0 19__0
26:11 7__0
26:11 8__0
26:11 11__0
26:11 13__0
26:11 16__0
26:11 22__0
26:12 8__0
26:0 22__0
26:12 12__0
26:0 28__0
26:0 29__0
26:13 10__0
26:13 11__0
26:1 12__0
26:1 18__0
26:1 20__0
26:15 11__0
26:16 7__0
26:2 11__0
26:12 9__0
26:18 6__0
26:18 7__0
26:18 8__0
26:18 9__0
26:2 16__0
26:19 5__0
26:2 17__0
26:22 5__0
26:22 6__0
26:22 8__0
26:23 7__0
26:23 8__0
Round27:____________________________
27:5 21__95
27:6 10__83
27:9 8__80
27:0 22__64
27:16 6__62
27:14 4__58
27:10 22__49
27:17 9__37
27:22 8__30
27:16 2__26
27:10 7__25
27:20 9__25
27:17 3__20
27:9 21__11
27:23 8__10
27:24 3__5
27:15 6__3
27:14 5__1
27:2 11__0
27:2 16__0
27:2 17__0
27:2 18__0
27:2 20__0
27:2 21__0
27:2 24__0
27:2 25__0
27:3 10__0
27:3 15__0
27:3 20__0
27:4 9__0
27:4 16__0
27:4 17__0
27:4 18__0
27:4 19__0
27:5 7__0
27:5 10__0
27:5 15__0
27:5 17__0
27:5 18__0
27:5 19__0
27:5 20__0
27:6 15__0
27:6 17__0
27:7 10__0
27:7 15__0
27:7 17__0
27:7 19__0
27:7 22__0
27:8 5__0
27:8 6__0
27:8 10__0
27:8 14__0
27:8 17__0
27:8 18__0
27:8 20__0
27:9 9__0
27:9 14__0
27:9 16__0
27:7 20__0
27:10 10__0
27:10 14__0
27:10 16__0
27:0 12__0
27:10 24__0
27:11 6__0
27:11 8__0
27:11 11__0
27:11 13__0
27:11 16__0
27:11 22__0
27:12 7__0
27:12 9__0
27:12 12__0
27:12 22__0
27:12 24__0
27:13 4__0
27:13 8__0
27:13 10__0
27:13 11__0
27:13 23__0
27:0 19__0
27:0 28__0
27:14 6__0
27:14 9__0
27:14 11__0
27:0 29__0
27:15 7__0
27:15 8__0
27:1 12__0
27:15 12__0
27:1 18__0
27:1 20__0
27:16 8__0
27:16 10__0
27:17 2__0
27:1 21__0
27:17 4__0
27:17 5__0
27:17 7__0
27:17 8__0
27:1 24__0
27:18 5__0
27:15 10__0
27:19 6__0
27:19 7__0
27:20 8__0
27:1 25__0
27:22 2__0
27:22 5__0
27:22 6__0
27:1 26__0
27:23 1__0
27:23 3__0
27:23 4__0
27:23 7__0
27:1 27__0
27:19 1__0
Round28:____________________________
28:8 22__345
28:7 7__98
28:1 23__88
28:6 22__75
28:18 8__64
28:13 2__48
28:15 5__36
28:12 2__22
28:22 6__16
28:12 5__9
28:16 5__7
28:14 7__5
28:24 3__5
28:19 8__2
28:2 17__0
28:2 18__0
28:2 20__0
28:2 21__0
28:2 22__0
28:3 10__0
28:3 15__0
28:3 20__0
28:3 22__0
28:4 9__0
28:4 16__0
28:4 17__0
28:4 18__0
28:4 19__0
28:4 21__0
28:4 22__0
28:5 8__0
28:5 15__0
28:5 17__0
28:5 18__0
28:5 19__0
28:5 20__0
28:5 21__0
28:5 22__0
28:6 8__0
28:6 15__0
28:6 17__0
28:7 15__0
28:7 17__0
28:7 19__0
28:7 20__0
28:7 21__0
28:8 7__0
28:8 14__0
28:8 17__0
28:8 18__0
28:9 6__0
28:9 8__0
28:9 9__0
28:9 14__0
28:9 16__0
28:9 21__0
28:10 7__0
28:10 10__0
28:10 14__0
28:10 16__0
28:10 22__0
28:10 24__0
28:11 6__0
28:11 8__0
28:11 11__0
28:11 13__0
28:11 16__0
28:11 22__0
28:0 12__0
28:0 19__0
28:12 9__0
28:12 12__0
28:12 22__0
28:12 24__0
28:0 21__0
28:13 4__0
28:13 5__0
28:13 6__0
28:13 9__0
28:13 10__0
28:13 11__0
28:13 23__0
28:14 1__0
28:14 3__0
28:14 4__0
28:0 22__0
28:14 8__0
28:14 11__0
28:1 12__0
28:15 9__0
28:15 10__0
28:15 12__0
28:1 18__0
28:16 4__0
28:1 20__0
28:16 7__0
28:16 9__0
28:17 2__0
28:17 6__0
28:18 3__0
28:18 4__0
28:18 6__0
28:1 22__0
28:18 9__0
28:19 1__0
28:19 4__0
28:19 5__0
28:16 3__0
28:20 3__0
28:20 5__0
28:20 6__0
28:20 7__0
28:22 2__0
28:22 5__0
28:2 11__0
28:22 8__0
28:23 1__0
28:23 3__0
28:23 4__0
28:23 7__0
28:23 8__0
28:2 16__0
28:24 9__0
Round29:____________________________
29:4 26__396
29:4 25__97
29:7 7__66
29:3 21__64
29:12 2__63
29:9 26__59
29:5 26__48
29:5 7__32
29:9 6__14
29:2 21__6
29:24 3__5
29:14 9__3
29:17 7__2
29:1 20__1
29:14 11__1
29:15 5__1
29:20 6__1
29:1 27__0
29:2 11__0
29:2 16__0
29:2 17__0
29:2 18__0
29:0 12__0
29:2 24__0
29:2 25__0
29:3 10__0
29:3 15__0
29:3 20__0
29:4 9__0
29:4 16__0
29:4 17__0
29:4 18__0
29:4 19__0
29:2 20__0
29:5 15__0
29:5 17__0
29:5 18__0
29:5 19__0
29:5 20__0
29:5 21__0
29:5 22__0
29:5 23__0
29:6 8__0
29:6 15__0
29:6 17__0
29:6 21__0
29:6 24__0
29:6 25__0
29:6 26__0
29:7 15__0
29:7 17__0
29:7 19__0
29:7 20__0
29:7 26__0
29:8 7__0
29:8 14__0
29:8 17__0
29:8 18__0
29:8 26__0
29:9 8__0
29:9 9__0
29:9 14__0
29:9 16__0
29:0 19__0
29:10 7__0
29:10 10__0
29:10 14__0
29:10 16__0
29:10 25__0
29:11 6__0
29:11 8__0
29:11 11__0
29:11 13__0
29:11 16__0
29:0 22__0
29:12 5__0
29:12 9__0
29:12 12__0
29:13 2__0
29:13 4__0
29:13 5__0
29:13 6__0
29:13 7__0
29:13 8__0
29:13 10__0
29:13 11__0
29:14 1__0
29:14 3__0
29:14 4__0
29:1 12__0
29:1 18__0
29:1 21__0
29:15 8__0
29:15 10__0
29:15 12__0
29:16 4__0
29:16 8__0
29:17 2__0
29:17 5__0
29:1 24__0
29:17 8__0
29:18 5__0
29:18 7__0
29:18 9__0
29:19 1__0
29:19 4__0
29:19 5__0
29:19 7__0
29:19 9__0
29:20 3__0
29:20 5__0
29:1 25__0
29:20 8__0
29:21 7__0
29:22 2__0
29:22 5__0
29:22 6__0
29:22 8__0
29:23 1__0
29:23 3__0
29:23 4__0
29:23 7__0
29:23 8__0
29:1 26__0
29:24 9__0
Round30:____________________________
30:8 2__288
30:3 30__137
30:6 5__92
30:16 9__71
30:5 30__62
30:18 5__41
30:13 6__38
30:9 29__35
30:7 30__34
30:7 5__26
30:1 30__18
30:8 30__18
30:13 8__13
30:13 10__7
30:19 5__6
30:20 6__6
30:1 23__5
30:24 3__5
30:13 5__2
30:7 6__1
30:1 20__0
30:1 22__0
30:1 28__0
30:1 29__0
30:2 11__0
30:2 16__0
30:2 17__0
30:2 20__0
30:2 21__0
30:2 22__0
30:2 26__0
30:2 27__0
30:2 28__0
30:3 10__0
30:3 15__0
30:3 20__0
30:3 23__0
30:3 24__0
30:3 25__0
30:3 29__0
30:4 9__0
30:4 16__0
30:4 17__0
30:4 18__0
30:4 19__0
30:4 30__0
30:5 6__0
30:5 8__0
30:5 15__0
30:5 17__0
30:5 18__0
30:5 19__0
30:5 20__0
30:6 8__0
30:6 15__0
30:6 17__0
30:6 21__0
30:6 30__0
30:7 8__0
30:7 15__0
30:7 17__0
30:7 19__0
30:7 20__0
30:8 5__0
30:8 6__0
30:8 7__0
30:8 14__0
30:8 17__0
30:8 18__0
30:8 27__0
30:9 2__0
30:9 7__0
30:2 18__0
30:9 9__0
30:9 14__0
30:9 16__0
30:9 26__0
30:9 28__0
30:0 12__0
30:10 2__0
30:10 3__0
30:10 7__0
30:10 10__0
30:10 14__0
30:10 16__0
30:10 26__0
30:10 28__0
30:11 1__0
30:11 3__0
30:11 6__0
30:11 7__0
30:11 8__0
30:11 11__0
30:11 13__0
30:11 16__0
30:12 1__0
30:12 2__0
30:12 5__0
30:12 6__0
30:12 8__0
30:12 9__0
30:12 12__0
30:13 2__0
30:13 4__0
30:0 19__0
30:0 21__0
30:0 22__0
30:13 9__0
30:0 25__0
30:13 11__0
30:14 1__0
30:14 3__0
